id,name,date_release,book_rating,book_genres,description,author,photo,ebup
12,Легкий заказ,2023 год.,4.71,"Городское фэнтези, Книги про волшебников

","Люди так устроены, что всегда хотят знать больше, чем им положено, и владеть тем, что, возможно, не для них и предназначено. А, значит, всегда найдутся те, кто им в этом поможет, но, разумеется, не за просто так, а за соответствующее вознаграждение. Чем-то подобным и занимается Максим Чарушин, владелец агентства ""Ключ"". Ну, разве что с одной поправкой – среди его клиентов встречаются не только люди, а их пожелания иногда находятся аккурат где-то между человеческими законами и здравым смыслом.",Андрей Васильев,https://flibusta.su/b/img/big/170756.jpg,https://flibusta.su/book/170756-legkiy-zakaz/d/?f=epub
13,Лорд утерянных земель,2024 год.,4.79,"Боевая фантастика, Боевое фэнтези, Героическая фантастика, Космическая фантастика, Научная фантастика

","Захват виконта Волжского стал поворотным моментом в ходе начавшейся войны. Решаясь на этот шаг, Сергей Белов прекрасно понимал, что действует без приказа и исключительно на свой страх и риск. И вот теперь всё будет зависеть от результатов их совместного рейда в Каинову чащу к местам падения летательных аппаратов чужих. Поход тщательно спланирован и подготовлен, но есть силы, готовые сделать всё, чтобы виконт Волжский не вернулся из Каиновой чащи живым.",Макс Глебов,https://flibusta.su/b/img/big/353697.jpg,https://flibusta.su/book/353697-lord-uterannyh-zemel/d/?f=epub
14,Орден Архитекторов 6,2024 год.,4.89,"Боевое фэнтези, Попаданцы

","Война? Война! Или нет? Странные события творятся вокруг маленького княжества Лихтенштейн. Враги вроде есть, вторжение есть, а война не объявлена…",Олег Сапфир,https://flibusta.su/b/img/big/214668.jpg,https://flibusta.su/book/214668-orden-arhitektorov-6/d/?f=epub
15,Опасная игра бабули. Руководство по раскрытию собственного убийства,2024 год.,5.0,"Современные детективы

","САМАЯ ОЖИДАЕМАЯ КНИГА 2024 ГОДА ПО ВЕРСИИ BARNES &amp; NOBLE, GOODREADS, BOOKRIOT, BOOKBUB.",Кристен Перрин,https://flibusta.su/b/img/big/213610.jpg,https://flibusta.su/book/213610-opasnaya-igra-babuli-rukovodstvo-po-raskryitiyu-sobstvennogo-ubiystva/d/?f=epub
16,Совершенные. Тайны Пантеона,2024 год.,4.92,"Городское фэнтези, Фантастические романы, Любовное фэнтези

","«Если Август Рэй Эттвуд пройдет свой темный путь, он превзойдет дьявола и наш мир падет…» Так говорит инквизиция и все ее силы теперь направлены на то, чтобы найти и уничтожить разрушителя. А мне, Кассандре Вэйлинг, золотой девочке и поверженной королеве, надо решить на чьей я стороне. ",Марина Суржевская,https://flibusta.su/b/img/big/194148.jpg,https://flibusta.su/book/194148-sovershennyie-taynyi-panteona/d/?f=epub
17,Темная сторона. Ученица,2023 год.,5.0,"Любовное фэнтези, Магические академии

","Издавна нас пугали темной стороной мира. Я надеялась, что она меня не коснется, но одно событие… И моя судьба полностью изменилась. ",Ника Ёрш,https://flibusta.su/b/img/big/175036.jpg,https://flibusta.su/book/175036-temnaya-storona-uchenitsa/d/?f=epub
18,Звездная Кровь – 7. Пламени Подобный,2024 год.,4.91,"Боевая фантастика, Героическое фэнтези, Киберпанк

","Тысячи циклов назад подобные ему назывались дважды рожденными. Тел же они сменили бесчисленное множество, и он даже не мог вспомнить, каким по счету стало это.",Роман Прокофьев,https://flibusta.su/b/img/big/212204.jpg,https://flibusta.su/book/212204-zvezdnaya-krov7-plameni-podobnyiy/d/?f=epub
19,Орден Архитекторов 7,2024 год.,4.74,"Боевое фэнтези, Попаданцы

","Князь Лихтенштейна Бобшильд. Человек, поставленный Императором, дабы поддерживать порядок в этом маленьком государстве. Но, правитель Империи недооценил человеческую жадность и тщеславие.",Олег Сапфир,https://flibusta.su/b/img/big/353698.jpg,https://flibusta.su/book/353698-orden-arhitektorov-7/d/?f=epub
20,Темная сторона. Маг,2023 год.,4.93,"Любовное фэнтези, Магические академии

",ЗАКЛЮЧИТЕЛЬНАЯ ЧАСТЬ ДИЛОГИИ,Ника Ёрш,https://flibusta.su/b/img/big/179773.jpg,https://flibusta.su/book/179773-temnaya-storona-mag/d/?f=epub
21,Звездная Кровь-6. Тинг,2023 год.,4.88,"Боевая фантастика, Героическое фэнтези, Киберпанк

",Я почти забыл Землю. ,Роман Прокофьев,https://flibusta.su/b/img/big/189428.jpg,https://flibusta.su/book/189428-zvezdnaya-krov-6-ting/d/?f=epub
22,Убийства и кексики. Детективное агентство «Благотворительный магазин»,2022 год.,5.0,"Современные детективы, Зарубежные детективы, Триллеры

",ЗАВАРИТЕ АРОМАТНЫЙ ЧАЙ И ОКУНИТЕСЬ В ЗАХВАТЫВАЮЩИЙ УЮТНЫЙ ДЕТЕКТИВ ВМЕСТЕ С ТРЕМЯ НЕУГОМОННЫМИ СЫЩИЦАМИ НА ПЕНСИИ.,Питер Боланд,https://flibusta.su/b/img/big/204815.jpg,https://flibusta.su/book/204815-ubiystva-i-keksiki-detektivnoe-agentstvo-blagotvoritelnyiy-magazin/d/?f=epub
23,Файролл. Петля судеб. Том 3,2024 год.,4.85,"Боевое фэнтези, Героическое фэнтези

","Плохо, когда большинство окружающих тебя людей думает, что за тобой числится должок, особенно когда ты у них ничего не брал. Еще хуже, когда кое-кто из них собирается взыскать с тебя этот несуществующий долг. И совсем уж скверно, если ты готов его выплатить. Собственно, вот такая возня и началась вокруг клана «Линдс-Лохены» и их лидера Хейгена. С той только разницей, что здесь никто никому ничего выплачивать не собирается. Более того – маленькая по меркам Файролла кучка воинов и магов, связанных между собой тесными узами безумия, характерного для участников данного клана, готова, если надо, в одиночку сражаться против всего мира.",Андрей Васильев,https://flibusta.su/b/img/big/209601.jpg,https://flibusta.su/book/209601-fayroll-petlya-sudeb-tom-3/d/?f=epub
24,Истинное наказание,2024 год.,4.82,"Любовное фэнтези, Магические академии, Попаданцы

","Сумасбродная затея обернулась попаданием в другой мир. Теперь у меня новая судьба, новая семья, новые проблемы и неожиданный спаситель. Но как узнать: принесет он в мою жизнь истинную любовь или станет очередным испытанием?",Ольга Гусейнова,https://flibusta.su/b/img/big/208483.jpg,https://flibusta.su/book/208483-istinnoe-nakazanie/d/?f=epub
25,Звездная кровь – 8. Псы вечности,2024 год.,4.87,"Боевая фантастика, Героическое фэнтези, Киберпанк

",Сезон Дикой Охоты продолжается.,Роман Прокофьев,https://flibusta.su/b/img/big/353704.jpg,https://flibusta.su/book/353704-zvezdnaa-krov---8-psy-vecnosti/d/?f=epub
26,Звездная Кровь-5. Вечность,2023 год.,4.94,"Боевая фантастика, Героическое фэнтези, Киберпанк

","Астроинженерную штуку, что построена вокруг черной дыры, местные называют Небесный Трон.",Роман Прокофьев,https://flibusta.su/b/img/big/176350.jpg,https://flibusta.su/book/176350-zvezdnaya-krov-5-vechnost/d/?f=epub
27,Антидемон. Книга 16,2024 год.,4.54,"Боевое фэнтези, Книги про волшебников, Попаданцы

","Пребывание Эйсона в Бельбе затягивается, хоть и дает ему необходимые ресурсы для очередного шага в борьбе с высшими демонами. Все серьезные игроки строят свои планы по поводу королевства, интриги и заказные убийства призваны изменить будущее как Бельбы, так и Аргента. Но жизнь преподносит всем игрокам сюрприз за сюрпризом, а Эйсон не упускает нужный момент, чтобы сделать свой ход…",Серж Винтеркей,https://flibusta.su/b/img/big/353699.jpg,https://flibusta.su/book/353699-antidemon-kniga-16/d/?f=epub
28,С тобой,2023 год.,4.91,"Совр. романы, Эротические романы

","Достаточно ли одной любви, чтобы сделать друг друга счастливыми?Когда-то я поняла, что нет. Мой брак с Полом Дэвенпортом закончился на ужасной ноте. И всё по моей вине.С тех пор мужчина, которого я любила всем сердцем, презирает и ненавидит меня. Я исчезла из его жизни и научилась жить без него, искренне веря, что наши пути больше не пересекутся.Но спустя годы судьба сбросила на меня такую сокрушительную проблему, с которой мне одной никак не справиться. И только бывший муж способен мне помочь. Однако захочет ли он это сделать после всего, что между нами произошло? Не знаю. Но я готова пойти на всё ради его согласия...Продолжение книги «Без тебя».",Тори Майрон,https://flibusta.su/b/img/big/184803.jpg,https://flibusta.su/book/184803-s-toboy/d/?f=epub
29,Антидемон. Книга 9,2023 год.,4.83,"Боевое фэнтези, Книги про волшебников, Попаданцы

","Эйсон наносит новый удар по клану «Могучих», и его эффективность превосходит все ожидания. Но вендетту приходится отложить – начинается война с Сисерией. Его зачисляют, как зеленого новичка, солдатом в разведку третьего корпуса под командованием принца Тибора, понятия не имея, эксперта какого уровня приобретают. Эйсон немного застоялся в Академии – что же, на войне ему удастся как следует развернуться!",Серж Винтеркей,https://flibusta.su/b/img/big/184802.jpg,https://flibusta.su/book/184802-antidemon-kniga-9/d/?f=epub
30,Контуженный: АДАПТАЦИЯ,2023 год.,4.8,"Боевая фантастика, Космическая фантастика, Попаданцы

","Космос безграничен и загадочен, сколько в нем ещё неизведанного. Джон Сол опять оказался на грани. Остаться самим собой или подвергнуться трансформе, выбор не прост. А возможно, что его и нет вовсе. Отсутствие звездных карт толкает группу выживших преступников на рискованный шаг - посещение единственной известной точки в пространстве, только вот цель пути оказалась совсем не такой, как ожидалось.",Алекс Гор,https://flibusta.su/b/img/big/179764.jpg,https://flibusta.su/book/179764-kontuzhennyiy-adaptatsiya/d/?f=epub
31,Университет Специальных Чар. Книга 3. Маэстрине некогда скучать,2023 год.,5.0,"Любовное фэнтези, Магические академии, Попаданцы

","Карьера Мари идет в гору, мир покоряется, с демоническими студентами контакт налаживается. Жених имеется, хотя не все гладко и легко в отношениях.",Милена Завойчинская,https://flibusta.su/b/img/big/186652.jpg,https://flibusta.su/book/186652-universitet-spetsialnyih-char-kniga-3-maestrine-nekogda-skuchat/d/?f=epub
32,Лед-Кузнец,2024 год.,4.87,"Боевая фантастика, Героическое фэнтези, Киберпанк

",Тысячи циклов стоят Ледяные Чертоги Эргиаля. ,Роман Прокофьев,https://flibusta.su/b/img/big/353700.jpg,https://flibusta.su/book/353700-led-kuznec/d/?f=epub
33,Светлая помощница темного дракона,2024 год.,4.89,"Детективное фэнтези, Любовное фэнтези, Юмористическое фэнтези

","Выбирая между бароном, положившим взгляд на мое тело, и драконом, темным и бессмертным, деспотом и тираном, злодеем, коих свет не видывал, я без раздумий предпочла работать на второго! Ведь я, светлая целительница со слабым даром, отнюдь не отличаюсь светлым характером – благословлю так, что все ведьмы, насылающие проклятия, удавятся от зависти. Так что бояться работы в окружении темных магов, грубых воинов и прочих не самых дружелюбных и добрых личностей мне нечего.Но кто знал, что бояться мне стоит своих чувств, которые внезапно вспыхивают при виде того самом темного дракона, которого все считают истинным злом?",Лира Алая,https://flibusta.su/b/img/big/214397.jpg,https://flibusta.su/book/214397-svetlaya-pomoschnitsa-temnogo-drakona/d/?f=epub
34,Демонология по Волкову. Собиратели душ,2024 год.,4.84,"Городское фэнтези, Мистика

","Алиса Гречишная с детства усвоила, что надеяться в этой жизни можно только на себя. Сразу после школы она вынуждена была идти работать, чтобы помогать матери и младшим сестрам, и главной ее проблемой до сих пор остается поиск денег. Именно обещание хорошей зарплаты привело ее в дом темного колдуна на должность личной помощницы.",Наталья Тимошенко,https://flibusta.su/b/img/big/214230.jpg,https://flibusta.su/book/214230-demonologiya-po-volkovu-sobirateli-dush/d/?f=epub
35,Fila vitae. Нити жизни,2023 год.,5.0,"Мистика, Современные детективы

","Судебно-медицинский эксперт Валерия Горяева думала, что уже потеряла способность удивляться, но, когда на ее столе оказалось тело молодой женщины, после смерти превратившейся в высохшую старуху, Лера изменила мнение. Только следователю совсем не хочется вешать на себя очередной глухарь, ведь признаков насильственной смерти нет, а возраст женщины он считает просто ошибкой эксперта. Чтобы восстановить свое доброе имя, Лера решает самостоятельно разобраться в этом сложном деле. На помощь ей приходит майор Павлов, который тоже не любит непонятных смертей. Вдвоем им предстоит отыскать таинственного преступника, ведь вскоре они понимают: на одной жертве он не остановится. И либо убийца обладает какими-то сверхъестественными способностями, либо… он и вовсе не человек. А в таком случае без содействия сотрудника Института исследования необъяснимого не обойтись.",Наталья Тимошенко,https://flibusta.su/b/img/big/182783.jpg,https://flibusta.su/book/182783-fila-vitae-niti-zhizni/d/?f=epub
36,Хранительница болот,2023 год.,4.84,"Мистика

","Кому-то бабушки оставляют домики на Лазурном берегу, а популярной писательнице Эмилии Вышинской досталась в наследство старая усадьба среди полесских болот. Но это оказалось именно то, что сейчас нужно Эмилии, переживающей творческий и семейный кризис. Захватив с собой младшую сестру, Эмилия приезжает в усадьбу на правах новой хозяйки. Ей предстоит узнать, какие тайны на протяжении нескольких веков скрывали Вышинские, кто живет в лесу за усадьбой, а также почему Агату Вышинскую, оставившую ей наследство, называли Хранительницей.",Наталья Тимошенко,https://flibusta.su/b/img/big/154453.jpg,https://flibusta.su/book/154453-hranitelnitsa-bolot/d/?f=epub
37,Любовь со смертью,2024 год.,4.88,"Любовное фэнтези, Магические академии, Попаданцы

",Обряд на удачу может спасти от провала!,Ольга Гусейнова,https://flibusta.su/b/img/big/197055.jpg,https://flibusta.su/book/197055-lyubov-so-smertyu/d/?f=epub
38,Сотня. Казачий крест,2024 год.,4.68,"Историческая фантастика, Попаданцы

","Жизнь, она всякие сюрпризы преподносит. Бывает и так, что, провожая в последний путь близкого человека, ты вдруг оказываешься переброшенным примерно на сотню лет назад, но в свою же собственную семью, где вдруг выясняется, что твой возможный предок оказался сожжён ударом молнии. Вот и не верь тут в совпадения, если и тебя перебросило тем же разрядом. Теперь тебе остаётся только жить и сделать всё, чтобы твоя семья не сгинула в горниле всяческих революций начала прошлого века.",Ерофей Трофимов,https://flibusta.su/b/img/big/353701.jpg,https://flibusta.su/book/353701-sotna-kazacij-krest/d/?f=epub
39,Диплом для Золушки,2024 год.,4.61,"Книги про волшебников, Любовное фэнтези, Магические академии, Юмористическое фэнтези

",Мыши съели мой диплом!,Аннабель Ли,https://flibusta.su/b/img/big/353702.jpg,https://flibusta.su/book/353702-diplom-dla-zoluski/d/?f=epub
40,"Очень злой дракон, или Бытовая магия для неумехи",2023 год.,4.83,"Любовное фэнтези, Попаданцы, Юмористическое фэнтези

","Всю жизнь уборка и домашние дела казались мне каторгой. Ну нет у меня к этому делу никакого таланта. Я нашла домработницу, жизнь стала налаживаться, а тут раз – и просыпаюсь в магическом мире, в заколдованном замке. И теперь я вроде как собственность дракона. Только жениться он на мне не собирается, да и жрать меня тоже. Мне предстоит навести тут порядок! Во всех ста с лишним комнатах и в подвале. Ужас! Но ничего, немного смекалки, немного магии, немного вредного характера… Берегись чистюля дракон, еще посмотрим, кто кого.",Джейд Дэвлин,https://flibusta.su/b/img/big/146995.jpg,https://flibusta.su/book/146995-ochen-zloy-drakon-ili-byitovaya-magiya-dlya-neumehi/d/?f=epub
41,Закон охоты,2024 год.,4.8,"Городское фэнтези, Книги про волшебников

","Часто дорога, кажущаяся легкой и ведущая к близким от дома местам, заводит человека в такие дали, о которых он изначально и помыслить не мог. Так случилось и с Максимом Чарушиным, которого простенький, на первый взгляд, заказ забросил из Москвы сначала на Урал, а после направил на тайные подгорные тропы из числа тех, по которым люди ходят нечасто. И теперь совсем не факт, что он и его спутники достигнут поставленную перед собой цель, или хотя бы просто смогут выбраться из сумрака подземелий в привычный для себя мир. Слишком уж все непросто обстоит там, куда их занесла нелегкая.",Андрей Васильев,https://flibusta.su/b/img/big/208014.jpg,https://flibusta.su/book/208014-zakon-ohotyi/d/?f=epub
42,Я переиграю тебя,2024 год.,4.73,"Остросюжетные романы, Совр. романы, Эротические романы

","Мне повезло родиться в одной из десяти Золотых семей — так считают все жители Морена. Но для меня это проклятье, а не везение. Я хочу быть свободной и иметь право выбора, но увы… В моём мире правят безжалостные мужчины. Они вечно гонятся за властью и не боятся замарать руки кровью. Желания женщин их вообще не интересуют. Мой старший брат никогда не позволит мне самой принимать решения. И он снова доказал это, когда выбрал для меня жениха — такого же властного, могущественного и взрослого, как и он сам. Однако я буду не я, если так просто выполню приказ брата. Жених ещё не в курсе, какую неадекватную невесту ему предлагают. Но не проблема. Я проявлю себя во всей красе и быстро отобью у него желание на мне жениться. Так я думала, пока не столкнулась с Дмитрием Титовым. Этот мужчина отличается ото всех представителей Золотой десятки, с которыми мне приходилось встречаться. Он удивляет, сбивает с толку, раздражает и чётко даёт понять, что свадьбы мне не избежать, а его — не переиграть.",Тори Майрон,https://flibusta.su/b/img/big/209966.jpg,https://flibusta.su/book/209966-ya-pereigrayu-tebya/d/?f=epub
43,Сильнее ветра,2024 год.,5.0,"Совр. романы, Эротические романы

","Способна ли я на измену?Я всегда считала, что нет…Ещё подростком Эйден Райс заселился в соседний дом, подарил свободу и научил любить. Мне всегда было его мало, и я хотела остановить мгновение и покорить неподвластный никому ресурс — время с ним. И вот спустя годы, на моём пальце красуется помолвочное кольцо, а впереди меня ждёт свадьба с самым лучшим мужчиной на свете. Но судьба та ещё стерва, и одно непредвиденное знакомство в Городе Ветров с Максвеллом Уайтом переворачивает всю мою жизнь с ног на голову. Заставляет испытывать противоречивые чувства. И запускает цепочку событий, в один день заканчивающихся шокирующей правдой, после которой я ощущаю себя так, словно вскрыла вены… Меня не успели спасти…А я забыла умереть…",Лия Аструм,https://flibusta.su/b/img/big/209902.jpg,https://flibusta.su/book/209902-silnee-vetra/d/?f=epub
44,Не вычеркивай меня из списка…,2024 год.,4.61,"Русское совр.

","«Моя личная родня была неистова и разнообразна. Чертовски разнообразна касательно заскоков, фобий, нарушений морали, оголтелых претензий друг к другу. Не то чтобы гроздь скорпионов в банке, но уж и не слёзыньки Господни, ох нет. С каждым из моей родни, говорила моя бабка, „беседовать можно, только наевшись гороху!“».",Дина Рубина,https://flibusta.su/b/img/big/182788.jpg,https://flibusta.su/book/182788-ne-vyicherkivay-menya-iz-spiska/d/?f=epub
45,Тайна исчезнувших девушек,2024 год.,4.97,"Героическая фантастика, Зарубежные детективы, Зарубежные романы

","Со всего мира начинают пропадать очень красивые и юные девушки. Девушек привозят на один таинственный остров. Никто из них не знает, что с ними там произойдет. Правда, открывшаяся им, приведет их в ужас...",Говард Уинтер,https://flibusta.su/b/img/big/197119.jpg,https://flibusta.su/book/197119-tayna-ischeznuvshih-devushek/d/?f=epub
46,Живое Серебро,2024 год.,4.76,"Героическая фантастика, Остросюжетные романы, Триллеры

","А из Живого Серебра шипы растут, точно из розы,",Anne Dar,https://flibusta.su/b/img/big/353703.jpg,https://flibusta.su/book/353703-zivoe-serebro/d/?f=epub
47,Марь,2024 год.,4.85,"Мистика, Ужасы

","Стэф, авантюрист и коллекционер необычных вещей, покупает на подпольном аукционе старую армейскую флягу. Эта спонтанная покупка становится началом расследования, которое приводит его в глухую деревушку на краю огромного болота. Местные жители до сих пор верят, что на болоте обитают смертельно-опасные твари, а в его темных водах живет древняя рыба Марь. Никто и никогда не остается на болоте после захода солнца. Никто и никогда не открывает двери тем, кто приходит в ночи. Потому что ночь – это время Мари и ее чудовищных порождений. Но для того, чтобы разгадать загадку далекого прошлого, Стэфу нужно стать тем, кто не боится рисковать в настоящем.",Татьяна Корсакова,https://flibusta.su/b/img/big/194149.jpg,https://flibusta.su/book/194149-mar/d/?f=epub
48,Бестия в академии Драконов. Избавиться и не влюбиться,2024 год.,4.83,"Любовное фэнтези, Магические академии

","С позором выгнали из Королевской академии магии за два месяца до получения диплома?Не страшно. Перейду в драконью академию. Там такой шикарный полигон с нечистью! Самое то для будущего боевика.Произошла путаница с документами и меня зачислили на другой факультет? И вместо гордого звания боевика в дипломе будет жалкая бытовушка?Не паниковать. Сейчас договорюсь с деканом, и он исправит эту ошибку.Декан боевиков оказался старым знакомым и теперь отказывается зачислять меня на свой факультет?Да он не знает, с кем связался! Берегись, Калеб Бенедикт, в академии появилась самая настоящая Бестия.Тебе не удастся от меня избавиться. А я не позволю себе вновь в тебя влюбиться.Однотомник. Входит в литературный флешмоб по миру Эрган.#эрганские_историиДобро пожаловать в академию драконов, одно из лучших учебных заведений королевства Эрган. Здесь студенты изучают стихии и некромантию, драконы встают на крыло. Призраки преподают, а из Разлома выползают жуткие твари. Благо, мы за ними следим!",Татьяна Серганова,https://flibusta.su/b/img/big/214147.jpg,https://flibusta.su/book/214147-bestiya-v-akademii-drakonov-izbavitsya-i-ne-vlyubitsya/d/?f=epub
49,Попасть в историю. Злодейка в академии,2024 год.,4.99,"Любовное фэнтези, Магические академии, Попаданцы, Юмористическое фэнтези

","Хотела попасть в книгу, а вляпалась в историю? Сама виновата: мечтая, нужно уточнять детали. Иначе в конце романа получишь не заздравное «долго и счастливо», а посмертное «поделом ей»! Точнее, мне. Ведь я очутилась в роли злодейки.",Надежда Мамаева,https://flibusta.su/b/img/big/208412.jpg,https://flibusta.su/book/208412-popast-v-istoriyu-zlodeyka-v-akademii/d/?f=epub
50,Свадьбы не будет,2024 год.,4.95,"Короткие романы, Совр. романы, Эротические романы

","— Никогда не женюсь! Тем более на ней! — патетично заявили в одной части города.— Замуж? За ЭТОГО? Никогда! — подтвердил женский голос в другой.У оперуполномоченного Льва Скиртача беда — астролог предсказала, что в этом году он женится! Так сложились звезды! Вот только Лев не верит в астрологию, а жениться в его планы не входит! Он лучше выведет на чистую воду аферистку, которая мнит себя астрологом, и съест свой паспорт, но жениться… Никогда! Или…ВНИМАНИЕ! В ИСТОРИИ МНОГО СПОЙЛЕРОВ ИЗ РОМАНА ""НАГЛЫЙ. ДЕРЗКИЙ. РОДНОЙ"".",Ульяна Романова,https://flibusta.su/b/img/big/210011.jpg,https://flibusta.su/book/210011-svadbyi-ne-budet/d/?f=epub
