id,name,year,rating,status,genre,episodes,time,studio,description,img
12,Владыка духовного меча 4 сезон,2020,7.07,Онгоинг,"Романтика, Боевые искусства, Приключения, Фэнтези, Экшен",346 эп.,11 мин.,Soyep,"Юный герой, смелый и отважный, прославляется своим мастерством владения мечом и саблей, становясь легендой среди своего народа. Его путешествие начинается с благородных намерений – истребить зло и защитить тех, кто близок ему. Однако тень прошлого омрачает его дорогу, когда он решает воссоединиться со своей пропавшей сестрой. Судьба, однако, несет ему не только трагическое возвращение сестры, но и мрачные загадки, которые ставят под угрозу не только его семью, но и весь мир. Внутренние демоны и",https://animego-online.org/uploads/posts/2023-09/4298911_1694028962.jpg
13,Противостоящий небесам,2021,6.96,Онгоинг,"Боевые искусства, Фэнтези, Экшен",260 эп. из 260,10 мин.,Soyep,"Главный герой пережил череду трагедий, потеряв всех, кого он любил. Смерть близких стала для него первым ударом, но вскоре он осознал, что и его верные друзья не оказались такими, какими казались. Они оказались жестокими и эгоистичными, думая лишь о своем благополучии. Похищение его возлюбленной стало следующим шокирующим событием. Вместо того чтобы сойти с ума, герой выбрал путь борьбы и мщения. В душе молодого Тань Юня теперь господствует одно чувство — жажда мести. Он решен довести свое дело",https://animego-online.org/uploads/posts/2023-09/4962868_1693946282.jpg
14,"Моя дочь, отправившаяся в столицу, захотев стать авантюристом, достигла S-ранга",2023,0.0,Онгоинг,"Магия, Приключения, Фэнтези, Экшен, Исекай",13 эп.,23 мин.,Typhoon Graphics,"Не каждому удается стать истинным авантюристом. Например, Бельгрив, который покинул армию досрочно из-за серьезного ранения, не смог осуществить свою мечту стать великим искателем приключений. Вместо этого он вернулся в свой родной край и начал трудиться простым деревенским тружеником. Однажды, блуждая по горам, он встретил маленькую девочку по имени Анджелина и решил взять ее под свою опеку. С годами девочка проявила удивительное мастерство в обращении с мечом, а Бельгрив стал ее наставником.",https://animego-online.org/uploads/posts/2023-09/65183c8b9abfa_1696087179.jpg
15,Семь смертных грехов: Четыре всадника Апокалипсиса,2023,6.89,Онгоинг,"Сёнен, Магия, Приключения, Фэнтези, Экшен",10 эп. из 24,23 мин.,Telecom Animation Film,"Эта история рассказывает о приключениях Персиваля, живущего изолированно с дедом Баргисом на вершине горы ""Божественный палец"". Он никогда не имел опыта общения с другими людьми и ведет уединенную жизнь, но его мир переворачивается в день его 16-летия, когда на них нападает загадочный воин в алой броне. Этот воин получил задание истребить всех, кто походит на четверых ""Всадников Апокалипсиса,"" группу воинов, предназначенных свергнуть короля Артура согласно предсказанию.",https://animego-online.org/uploads/posts/2023-10/0_1696892223.jpg
16,Провожающая в последний путь Фрирен,2023,8.95,Онгоинг,"Сёнен, Драма, Приключения, Фэнтези",16 эп.,25 мин.,Madhouse,"Десять лет назад группа авантюристов одержала победу над Королем Демонов и вернула мир в волшебное королевство. Этот отважный отряд включал в себя человека по имени Химмель, гнома-воина Эйзена, жреца Хейтера и эльфийку-чародейку Фрирен. После завершения их подвига Фрирен намеревается отправиться в путешествие, исследуя другие регионы. Перед тем как разойтись, они наслаждаются редким метеоритным дождем, который происходит всего лишь дважды за столетие, и договариваются встретиться снова во время",https://animego-online.org/uploads/posts/2023-10/0_1696890482.jpg
17,Королевство руин,2023,7.59,Онгоинг,"Сёнен, Драма, Фэнтези, Экшен",12 эп. из 12,24 мин.,Yokohama Animation Lab,"Сюжет аниме ""Королевство руин"" разворачивается в мире, где люди и ведьмы долгое время жили в мире и гармонии. Однако события принимают жестокий оборот, когда наука достигает новых высот, и людям больше не нужна помощь ведьм. Ведьмы становятся объектами дискриминации, и на них начинается охота, уносящая множество жизней. Ключевую роль в этом конфликте и важное решение принимает Адонис, один из последователей ведьмы, который теряет всю свою семью и близких. Ощущая несчастье и гнев,",https://animego-online.org/uploads/posts/2023-10/0_1696889642.jpg
18,Восхождение Героя щита 3 сезон,2023,7.0,Онгоинг,"Драма, Магия, Приключения, Фэнтези, Экшен, Исекай",12 эп. из 12,24 мин.,Kinema Citrus,"Главного героя, Наофуми Иватани, призвали в параллельный мир в качестве героя, но он не был единственным - вместе с ним было призвано ещё трое людей, каждому из которых было вручено свое особенное оружие. Их число составляло четыре: меч, лук, копье и щит. В начале все шло хорошо, и все горожане полюбили Наофуми и остальных героев. Однако в какой-то момент местные жители почему-то стали считать, что щит - бесполезное оружие, и начали противостоять ему. Главному герою пришлось столкнуться с",https://animego-online.org/uploads/posts/2023-10/1235052_1696604942.jpg
19,Убийца гоблинов 2 сезон,2023,7.54,Онгоинг,"Магия, Приключения, Фэнтези, Экшен",12 эп. из 12,23 мин.,LIDENFILMS,"В этом мире обитает разнообразие рас, включая людей, эльфов, дварфов и многих других. Однако, также существует множество видов монстров, таких как драконы, огры и гоблины. Сегодня мы обратим внимание именно на гоблинов, которых часто считают самыми слабыми и недооцененными среди всех остальных существ. Но это весьма обманчивое впечатление, так как они обладают разумом и действуют сообща, их жестокость не знает границ. Гоблины похищают девушек и используют их как средства размножения, а также",https://animego-online.org/uploads/posts/2023-11/65549e89770f4_1700044425.jpg
20,История знакомства опытной тебя и неопытного меня,2023,6.77,Онгоинг,"Романтика, Школа",12 эп. из 12,23 мин.,ENGI,"Это история о типичном школьнике по имени Руюто Касима, который проиграл в игре ""Признание в любви"" и его новой задачей стало признание в любви к Руне Сиракаве. Коротко говоря, Руна была идеальной красавицей и самой популярной девушкой в школе. Однако, всё пошло совсем не так, как он планировал, потому что Руна прямо заявила, что она свободна и готова начать отношения. Руюто случайно слышал, как Руна отвергла предложение спортивного парня из футбольной команды. Руна пригласила Руюто,",https://animego-online.org/uploads/posts/2023-10/0_1696891442.jpg
21,Магическая битва 2 сезон,2023,8.8,Онгоинг,"Сёнен, Школа, Магия, Ужасы, Фэнтези, Экшен",22 эп. из 23,23 мин.,MAPPA,"Юджи Итадори выделялся среди своих сверстников тем, что не разделял их страсть к спорту, а предпочитал заниматься оккультизмом. Этот выбор был обусловлен тяжелыми событиями в его жизни. Он потерял близкого человека, своего дедушку. Возраст уже не позволял старику быть крепким, и он заболел, в результате чего скончался в больнице. Медицинская помощь оказалась бессильной, и перед смертью дедушка попросил Юджи совершать добрые поступки и помогать нуждающимся. Парень оказался в ситуации, где ему",https://animego-online.org/uploads/posts/2023-08/1381125_1691425621.jpg
22,Восхождение в тени 2 сезон,2023,8.55,Онгоинг,"Комедия, Фэнтези, Экшен",12 эп. из 12,24 мин.,Nexus,"Продолжение увлекательной истории о молодом парне, живущем в современной Японии. Главный герой оставляет впечатление скромного и спокойного паренька, который предпочитает скрываться в тени, а не выходить на публику. Его большой момент и возможность проявить себя наступят, когда он окажется в мире мечей и магии. Здесь Сид станет мощным воином с уникальными способностями властвовать над стихиями. Чтобы стать настоящим героем этих земель, ему предстоит собрать вокруг себя отважную команду и",https://animego-online.org/uploads/posts/2023-10/4901749_1696450023.jpg
23,Расколотая битвой синева небес 1 сезон,2017,7.22,Закончен,"Комедия, Романтика, Приключения, Мистика, Фэнтези, Экшен",75 эп. из 12,25 мин.,Foch Films,"В суровом мире с жесткой иерархией главный герой, Сяо Янь, рожден с благородными корнями и уникальными способностями, делающими его непревзойденным воином. Однако судьба кардинально меняется, когда его мать подвергается клевете, вынуждая ее покончить с собой, а отец теряет свои сверхъестественные силы, чтобы защитить семью. Печать, наложенная на родовые каналы, лишает Сяо Янь своих навыков. Отныне он вынужден работать в аптеке, далеко от своего благородного происхождения, что оскорбляет его",https://animego-online.org/uploads/posts/2023-09/1199745_1693970822.jpg
24,Ван-Пис,1999,8.7,Онгоинг,"Сёнен, Приключения, Суперсила, Фэнтези, Экшен",1088 эп.,22 мин.,Toei Animation,"Сюжет начинается с встречи молодого парня по имени Манки Д. Луффи, который мечтает стать пиратом и найти сокровище Ван Пис, самое большое сокровище на Гранд Лайн - опасном и загадочном морском пути. Луффи становится Резиновым Человеком после случайного поедания дьявольского плода, который дарует ему способность растягивать свое тело, но при этом делает его уязвимым к ударам. Луффи собирает разношерстную команду, известную как Пираты Соломенной шляпы, включая сильных и уникальных членов, таких",https://animego-online.org/uploads/posts/2023-08/1691906573_11.jpg
25,Одинокий странник,2020,6.77,Онгоинг,"Боевые искусства, Экшен",375 эп. из 380,12 мин.,Soyep,"Сериал, являющийся ONA, вращается вокруг боевых искусств и представителей разнообразных направлений. Зрителей ожидает увлекательное погружение в огромный мир, наполненный удивительными формами жизни и невероятными существами, обладающими разумом. Центральную роль в этой удивительной вселенной играют души, стремящиеся к бессмертию и могуществу через проповедь Даосизма. В этом удивительном мире постоянно вспыхивают противостояния между расами и духами, создавая уникальный баланс сил на планете.",https://animego-online.org/uploads/posts/2023-09/4292623_1694022182.jpg
26,Судный день,2017,5.38,Закончен,"Суперсила, Фантастика, Фэнтези, Экшен",23 эп. из 11,23 мин.,A.C.G.T.,"Это аниме, основанное на визуальной новелле, разработанной компанией Light. Сюжет аниме объединяет элементы визуальной новеллы, фэнтези и мистики, а также имеет сильные исторические и философские оттенки. Главный герой - Рен Фудзимура, обычный парень, который начинает видеть кошмарные сны о войне и мистических существах. События наводят его на след мистической группы, связанной с организацией, история которой уходит во времена Второй мировой войны и связана с оккультными экспериментами. По мере",https://animego-online.org/uploads/posts/2023-08/1048816_1691581801.jpg
27,Мой телохранитель,2023,6.34,Онгоинг,"Сёдзё, Романтика, Школа",13 эп. из 13,23 мин.,Project No.9,"Маленькая Исаку Сэнагаки была несчастной после потери своих родителей. Однако ее дедушка, являющийся главой якудза, принял ее под свое крыло, и клан стал для нее новым местом, где нашла дом и семью. Несмотря на это, она столкнулась с одиночеством из-за своего статуса внучки главы якудза, что мешало ей завести друзей и найти парня. Все изменилось, когда она приняла решение изменить свою жизнь и поступить в старшую школу вдали от дома, чтобы найти друзей и возможно, парня. Однако ее личный",https://animego-online.org/uploads/posts/2023-10/0_1696891922.jpg
28,Четверо братьев Юдзуки,2023,7.07,Онгоинг,"Сёдзё, Школа, Повседневность",12 эп. из 12,23 мин.,Shuka,"Жизнь Хаято Юдзуки и его братьев была чрезвычайно тяжелой, так как они оказались сиротами, оставшись без всякой поддержки. Парни могли полагаться только на свои собственные усилия и взаимную поддержку. Младшему брату Гакуто было особенно трудно, не имея материнской заботы. Этот период стал настоящим испытанием для Минато, внесшим в его жизнь эмоциональные и психологические трудности. Микото, несмотря на свою сдержанность и зрелость, стала надежной опорой для Хаято. Братьям приходится",https://animego-online.org/uploads/posts/2023-10/0_1696846682.jpg
29,Страна десяти тысяч чудес 5 сезон,2021,6.84,Онгоинг,"Романтика, Демоны, Магия, Фэнтези, Экшен",233 эп. из 288,7 мин.,Ruo Hong Culture,"В этом удивительном мире, где стандартные законы природы смешиваются с величием божеств, главные герои обладают магическими силами, но все равно подвергаются постоянным опасностям. Люди этого мира обладают семью формами смерти и тремя душами, создавая уникальное понимание смерти и жизни. Сражения с богами, столкновения с демонами и встречи с таинственными существами наполняют этот мир интригой, делая историю о доблести и отваге еще более привлекательной.",https://animego-online.org/uploads/posts/2023-09/4294472_1694023742.jpg
30,Доктор Стоун 3 сезон 2 часть,2023,8.46,Онгоинг,"Сёнен, Комедия, Приключения, Фантастика",11 эп. из 11,24 мин.,TMS Entertainment,"Эта история начинается в ужасающей реальности, где человечество подверглось таинственной аномалии, превратившей всех его представителей в бездушные каменные статуи. Целые годы прошли с тех пор, и мир претерпел радикальные перемены. Все, что осталось от человечества - это развалины и безмолвие. В центре этой мрачной истории стоит Тайджу Оки, старшеклассник, который внезапно приходит в себя в этом новом мире. Он обнаруживает, что его окружают каменные скульптуры, включая его собственных друзей и",https://animego-online.org/uploads/posts/2023-10/653934f213c9a_1698247922.jpg
31,"Трон, отмеченный богом 2 сезон",2022,7.89,Онгоинг,"Приключения, Фэнтези, Экшен",60 эп. из 52,20 мин.,Shenman Entertainment,"Сюжет этой истории рассказывает о мрачных событиях, произошедших шесть тысяч лет назад. Император демонов Фэн Сюй с демонической армией пришел на землю, разразив атаку, в результате которой поражены были все, кто попал на их путь. Демоны распространили порчу через армию семидесяти двух колонн. Возникла угроза, которую человечество казалось не может победить. Несмотря на мощь сильнейших людей, демонов не удалось остановить. В отчаянной ситуации был учрежден Храм Шести Святых, где верующие смогли",https://animego-online.org/uploads/posts/2023-08/64e43c3e3c0a6_1692679230.jpg
32,Буллбастер,2023,5.88,Онгоинг,"Меха, Фантастика, Экшен",1 эп. из 12,23 мин.,Nut,"Эта научно-популярная анимационная серия следует за приключениями Тэцуро Окино, молодого и талантливого инженера, чьим выдающимся изобретением становится робот по имени ""Буллбастер"". Его инновационная разработка привлекает внимание компании, специализирующейся на разработке средств для борьбы с опасными монстрами. Главной задачей компании является поиск эффективного оружия для борьбы с кайдзю - гигантскими существами, созданными неземными цивилизациями. Недостаток финансирования",https://animego-online.org/uploads/posts/2023-10/0_1696894682.jpg
33,Ниер: Автомата — Версия 1.1а,2023,7.58,Закончен,"Фантастика, Фэнтези, Экшен",12 эп. из 12,23 мин.,A-1 Pictures,"Инопланетяне совершили нападение на Землю, вынудив людей бежать на Луну в рамках проекта Гештальт. На Земле инопланетные создания трансформировали местную жизнь в механическую форму. Роботы начали занимать территории, принадлежавшие ранее людям. В ответ люди разработали человекоподобных андроидов с целью вернуть свою планету и никогда не отказываться от неё. В центре событий оказались два андроида, 2B и 9S, им поручена специальная миссия - взять контроль над роботами на Земле. Встреча с",https://animego-online.org/uploads/posts/2023-08/1691897944_11.jpg
34,Шестнадцатибитное ощущение: Другой уровень,2023,7.21,Онгоинг,Комедия,12 эп. из 13,23 мин.,Silver,"История рассказывает о Майке Уэхара, студентке, которая, чтобы оплатить своё образование, принимает скучную работу в компьютерном магазине. Однако её жизнь меняется, когда она обнаруживает, что её работодатели занимаются разработкой эротических видеоигр в стиле бисёдзе (японских романтических игр). Вместе с коллегами они решают создать собственную игру, чтобы преодолеть финансовые трудности и привлечь новых клиентов. Майка начинает углубляться в технические аспекты создания игр, создавая",https://animego-online.org/uploads/posts/2023-10/0_1696906442.jpg
35,"Я прибрал к рукам девушку, которая потеряла своего жениха, и теперь я учу её всяким плохим вещам",2023,7.17,Онгоинг,"Комедия, Романтика, Фэнтези",12 эп.,23 мин.,"Zero-G, Digital Network Animation","История рассказывает о необычной дружбе между Алэном и Шарлоттой, развивающейся в необычных обстоятельствах. Главный герой, Алэн, живет глубоко в лесу и из-за своего загадочного образа жизни становится объектом страха и предвзятости со стороны местных жителей, которые называют его ""дьяволом"" и приписывают ему магические способности. Основное событие истории происходит, когда Алэн встречает Шарлотту, беглую из своей страны из-за несчастного случая. Вместо того чтобы использовать свои",https://animego-online.org/uploads/posts/2023-10/0_1696894142.jpg
36,Бесподобный боевой дух,2020,6.63,Онгоинг,"Боевые искусства, Фэнтези, Экшен",333 эп. из 360,11 мин.,Soyep,"Добро пожаловать на Континент Сосудов Дракона, место, где слились воедино разнообразные этнические группы, секты и общины. Власть здесь сконцентрирована в руках могущественных личностей, в то время как более слабые вынуждены искать спасение в бегстве и надеяться на удачу. Главный герой этой истории – Чень Фен, который когда-то был усыновлен Янь Цин Юем. С самого детства Чень Фен сталкивался с трудностями в тренировках, но в нем зрел незаурядный талант. Его наставники и близкие не бросили его, а",https://animego-online.org/uploads/posts/2023-08/64e4323d8ce95_1692676669.jpg
37,Благословение небожителей 2 сезон,2023,8.78,Онгоинг,"Драма, Приключения, Фэнтези, Экшен",8 эп.,35 мин.,Haoliners Animation League,"В несколько столетий назад Лянь Се был признанным принцем и законным наследником, предназначенным для великого будущего в королевстве. Его благородное происхождение предвещало ему славу и признание, а общество ценило его за мудрость и рассудительность. Юноше даже удалось на короткое время занять место среди бессмертных небожителей на Небесах, но вскоре его изгнали обратно на землю. Эта неожиданная переменчивость судьбы сильно повлияла на жизнь принца. Он стал объектом насмешек и унижений,",https://animego-online.org/uploads/posts/2023-11/654e46f0109e5_1699628784.jpg
38,Повседневная жизнь бессмертного короля 4 сезон,2023,7.19,Онгоинг,"Комедия, Школа, Приключения, Фэнтези",2 эп.,20 мин.,Не указана,"Могущественный с детства, Вань Лин отказывается быть типичным героем поднебесного мира. Вместо того, чтобы сражаться за власть и богатство, он предпочитает простую жизнь. Его страсть к кулинарии приводит его к самым изысканным вкусам, но при этом он постоянно оказывается в опасности от тех, кто жаждет его силы. В борьбе за свою невинность и вкус жизни, Вань Лин сталкивается с трудностями, несмотря на свою невероятную силу.",https://animego-online.org/uploads/posts/2023-12/6582ae42872f4_1703063106.jpg
40,Хельк,2023,7.3,Онгоинг,"Фэнтези, Экшен",24 эп. из 24,22 мин.,Satelight,"Пока человечество празднует победу над Королем Демонов от руки одного героя, обитатели мира демонов готовятся к соревнованию жизни — турниру, чтобы определить, кто унаследует титул Короля Демонов. Теперь, спустя три месяца, турнир проходит успешно — ну, за исключением того факта, что главным фаворитом на победу является герой-человек Хелк! С улыбкой и маханием руки он легко побеждает своих демонических соперников, при этом громко заявляя о ненависти к людям. Несмотря на то, что он призывает к",https://animego-online.org/uploads/posts/2023-08/1691898937_14.jpg
41,Поглощая Звезду 2 сезон,2021,7.84,Онгоинг,"Приключения, Фантастика, Экшен",72 эп. из 104,22 мин.,Sparkly Key Animation Studio,"Новый вирус под названием RR привел к катастрофе для человечества. Он погрузил мир в отчаяние, и люди вынуждены бороться за выживание. Вирус поразил животных, делая их агрессивными и опасными. Лишенные других вариантов, люди уходят в подземелья, где строят новые убежища для сохранения жизни. Этот мрачный период получил название ""Эра Нирваны"", начиная новую эпоху. Основные герои истории сталкиваются с жесткими условиями, вынуждены адаптироваться и становиться сильнее. Многие становятся",https://animego-online.org/uploads/posts/2023-08/64e43cf8154b6_1692679416.jpg
